criteria_id,subcriteria,
15,(a) The Data Protection Act 1998.,
15,(b) The Computer Misuse Act 1990.,
15,(c) The Copyright Design and Patents Act 1988.,
15,(d) The Regulation of Investigatory Powers Act 2000.,
16,"The individual moral, social, ethical and cultural opportunities and risks of digital technology: Computers in the workforce.",
16,"The individual moral, social, ethical and cultural opportunities and risks of digital technology:Automated decision making.",
16,"The individual moral, social, ethical and cultural opportunities and risks of digital technology:Artificial intelligence.",
16,"The individual moral, social, ethical and cultural opportunities and risks of digital technology:Environmental effects.",
16,"The individual moral, social, ethical and cultural opportunities and risks of digital technology:Censorship and the Internet. Monitor behaviour.",
16,"The individual moral, social, ethical and cultural opportunities and risks of digital technology:Analyse personal information.",
16,"The individual moral, social, ethical and cultural opportunities and risks of digital technology: Piracy and offensive communications.",
16,"The individual moral, social, ethical and cultural opportunities and risks of digital technology: Layout, colour paradigms and character sets.",
17,(a) The nature of abstraction.,
17,(b) The need for abstraction.,
17,(c) The differences between an abstraction and reality.,
17,(d) Devise an abstract model for a variety of situations.,
18,(a) Identify the inputs and outputs for a given situation.,
18,(b) Determine the preconditions for devising a solution to a problem,
18,"(c) The nature, benefits and drawbacks of caching.",
18,(d) The need for reusable program components.,
19,(a) Identify the components of a problem.,
19,(b) Identify the components of a solution to a problem,
19,(c) Determine the order of the steps needed to solve a problem.,
19,(d) Identify sub-procedures necessary to solve a problem,
20,(a) Identify the points in a solution where a decision has to be taken.,
20,(b) Determine the logical conditions that affect the outcome of a decision.,
20,(c) Determine how decisions affect flow through a program.,
21,(a) Determine the parts of a problem that can be tackled at the same time,
21,(b) Outline the benefits and trade offs that might result from concurrent processing in a particular situation.,
22,"(a) Programming constructs: sequence, iteration, branching.",
22,"(b) Recursion, how it can be used and compares to an iterative approach",
22,(c) Global and local variables,
22,"(d) Modularity, functions and procedures, parameter passing by value and by reference.",
22,(e) Use of an IDE to develop/debug a program,
22,(f) Use of object oriented techniques.,
23,(a) Features that make a problem solvable by computational methods.,
23,(b) Problem recognition,
23,(c) Problem decomposition.,
23,(d) Use of divide and conquer.,
23,(e) Use of abstraction.,
23,(f) Learners should apply their knowledge of: backtracking,
23,(f) Learners should apply their knowledge of:data mining,
23,(f) Learners should apply their knowledge of: heuristics,
23,(f) Learners should apply their knowledge of: performance modelling,
23,(f) Learners should apply their knowledge of:pipelining,
23,(f) Learners should apply their knowledge of: visualisation to solve problems,
24,(a) Analysis and design of algorithms for a given situation.,
24,"(b) The suitability of different algorithms for a given task and data set, in terms of execution time and space.",
24,"(c) Measures and methods to determine the efficiency of different algorithms, Big O notation (constant, linear, polynomial, exponential and logarithmic complexity)",
24,(d) Comparison of the complexity of algorithms.,
24,(e) Algorithms for the main data structures stacks,
24,(e) Algorithms for the main data structures  queues,
24,(e) Algorithms for the main data structures trees,
24,(e) Algorithms for the main data structures linked lists,
24,"(e) Algorithms for the main data structures,  depth-first (post-order)",
24,(e) Algorithms for the main data structures  breadth-first traversal of trees,
24,(f) Standard algorithms bubble sort,
24,(f) Standard algorithms insertion sort,
24,(f) Standard algorithms  merge sort,
24,(f) Standard algorithms quick sort,
24,(f) Standard algorithms Dijkstras shortest path algorithm,
24,(f) Standard algorithms A* algorithm,
24,(f) Standard algorithms  binary search,
